[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/ppo_phase1'
[claude_code/PPO] opponent 초기화 = iter0 정책 (EMA α=0.05, 승격 임계 EMA≥0.60, 초기 EMA=0.5)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\ppo_phase1 (iter 0 = 초기 network)
iter  94 | step 9399624 | return    6.514 | len 1277.2 | damage  0.111 | dist  2.564 | aim  0.135 | ent  4.968 | kl 0.0219 | ev  0.861 | opp(gen3) W/L/D 43/8/30 raw_wr 0.53 ema 0.464
iter  95 | step 9499620 | return    7.166 | len 1233.9 | damage  0.073 | dist  2.558 | aim  0.145 | ent  4.951 | kl 0.0205 | ev  0.871 | opp(gen3) W/L/D 55/5/22 raw_wr 0.67 ema 0.474
iter  96 | step 9599616 | return    4.888 | len 1503.6 | damage  0.109 | dist  2.910 | aim  0.177 | ent  4.918 | kl 0.0221 | ev  0.779 | opp(gen3) W/L/D 32/9/24 raw_wr 0.49 ema 0.475
iter  97 | step 9699612 | return    6.050 | len 1405.8 | damage  0.103 | dist  2.569 | aim  0.139 | ent  4.931 | kl 0.0216 | ev  0.827 | opp(gen3) W/L/D 43/7/21 raw_wr 0.61 ema 0.482
iter  98 | step 9799608 | return    5.695 | len 1452.8 | damage  0.114 | dist  2.922 | aim  0.160 | ent  4.985 | kl 0.0202 | ev  0.864 | opp(gen3) W/L/D 38/6/24 raw_wr 0.56 ema 0.486
iter  99 | step 9899604 | return    5.988 | len 1439.9 | damage  0.074 | dist  2.485 | aim  0.144 | ent  4.824 | kl 0.0201 | ev  0.908 | opp(gen3) W/L/D 41/4/25 raw_wr 0.59 ema 0.491
iter 100 | step 9999600 | return    8.067 | len 1197.2 | damage  0.158 | dist  2.774 | aim  0.135 | ent  4.964 | kl 0.0206 | ev  0.887 | opp(gen3) W/L/D 59/2/23 raw_wr 0.70 ema 0.501
iter 101 | step 10099596 | return    6.807 | len 1348.7 | damage  0.192 | dist  2.814 | aim  0.153 | ent  4.897 | kl 0.0198 | ev  0.849 | opp(gen3) W/L/D 51/9/14 raw_wr 0.69 ema 0.511
iter 102 | step 10199592 | return    7.172 | len 1391.0 | damage  0.271 | dist  2.980 | aim  0.171 | ent  4.840 | kl 0.0220 | ev  0.817 | opp(gen3) W/L/D 51/8/13 raw_wr 0.71 ema 0.521
iter 103 | step 10299588 | return    7.422 | len 1277.7 | damage  0.301 | dist  2.608 | aim  0.154 | ent  4.861 | kl 0.0210 | ev  0.853 | opp(gen3) W/L/D 61/7/10 raw_wr 0.78 ema 0.534
iter 104 | step 10399584 | return    6.700 | len 1413.1 | damage  0.186 | dist  2.704 | aim  0.148 | ent  4.669 | kl 0.0217 | ev  0.792 | opp(gen3) W/L/D 50/3/18 raw_wr 0.70 ema 0.542
iter 105 | step 10499580 | return    7.789 | len 1421.9 | damage  0.285 | dist  2.976 | aim  0.180 | ent  4.877 | kl 0.0225 | ev  0.788 | opp(gen3) W/L/D 48/4/17 raw_wr 0.70 ema 0.550
iter 106 | step 10599576 | return    7.788 | len 1471.7 | damage  0.422 | dist  3.007 | aim  0.156 | ent  4.992 | kl 0.0222 | ev  0.765 | opp(gen3) W/L/D 52/4/13 raw_wr 0.75 ema 0.560
iter 107 | step 10699572 | return    7.409 | len 1470.6 | damage  0.244 | dist  3.148 | aim  0.194 | ent  4.755 | kl 0.0216 | ev  0.818 | opp(gen3) W/L/D 45/5/18 raw_wr 0.66 ema 0.565
