iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
114,5699772,3.8590,1088.4,44,-0.03951,0.00111,8.4283,0.03591,0.9769,0.0000,0.0260,0.3103,3.5227,117.85,33,0,11,0.7500,0.8601,0.4585,5,0,0
115,5749770,3.8110,1164.0,42,-0.03652,0.00097,8.3627,0.03568,0.9584,0.0000,0.0492,0.3094,3.4524,118.54,31,2,9,0.7381,0.8631,0.4576,5,0,0
116,5799768,3.9851,1193.7,43,-0.04723,0.00093,8.4006,0.03593,0.9741,0.0000,0.0464,0.4504,3.4884,117.20,32,0,11,0.7442,0.8683,0.4696,5,0,0
117,5849766,2.8368,1102.1,46,-0.03200,0.00201,8.3227,0.03572,0.9426,0.0000,0.0316,-0.2383,3.0435,116.59,33,1,12,0.7174,0.8679,0.4797,5,0,1
118,5899764,3.6116,1264.7,40,-0.04127,0.00187,8.3094,0.03421,0.9483,0.0000,0.1393,0.4723,3.0000,117.42,31,1,8,0.7750,0.8729,0.4909,5,0,0
119,5949762,3.3379,1312.7,36,-0.03238,0.00115,8.3345,0.03440,0.9579,0.0000,0.1052,1.2883,1.9444,120.00,23,1,12,0.6389,0.8685,0.4896,5,0,1
120,5999760,3.0838,1223.4,43,-0.04758,0.00138,8.3634,0.03517,0.8798,0.0000,0.3428,0.2992,2.4419,119.62,32,1,10,0.7442,0.8732,0.4983,5,0,1
121,6049758,4.1500,1047.8,48,-0.03435,0.00147,8.3281,0.03775,0.9509,0.0000,0.2365,0.2676,3.6458,119.43,42,0,6,0.8750,0.8811,0.5245,5,0,0
122,6099756,3.3614,1164.9,43,-0.05449,0.00134,8.2618,0.03570,0.9442,0.0000,0.1408,0.6625,2.5581,118.10,31,1,11,0.7209,0.8770,0.5286,5,0,1
123,6149754,3.8711,1164.1,41,-0.04087,0.00194,8.3157,0.03481,0.9515,0.0000,0.2952,0.8930,2.6829,119.74,31,1,9,0.7561,0.8679,0.5437,5,0,1
124,6199752,3.5945,1151.1,45,-0.05021,0.00164,8.3887,0.03627,0.9440,0.0000,0.1220,0.5836,2.8889,119.85,35,3,7,0.7778,0.8708,0.5547,5,0,1
125,6249750,3.6887,1053.5,47,-0.05370,0.00141,8.2881,0.03669,0.9652,0.0000,0.0719,0.2125,3.4043,116.17,36,0,11,0.7660,0.8713,0.5622,5,0,0
126,6299748,3.8898,1204.2,41,-0.03475,0.00130,8.2581,0.03435,0.9754,0.0000,0.1689,0.1843,3.5366,117.08,32,0,9,0.7805,0.8756,0.5631,5,0,0
127,6349746,3.5296,1007.7,49,-0.03987,0.00128,8.1149,0.03503,0.9641,0.0000,0.1023,0.2640,3.1633,121.64,40,1,8,0.8163,0.8767,0.5598,5,0,1
128,6399744,4.1980,1126.6,45,-0.04324,0.00110,8.1797,0.03571,0.9592,0.0000,0.3324,0.6434,3.2222,116.41,37,1,7,0.8222,0.8803,0.5705,5,0,0
129,6449742,4.1981,1010.4,51,-0.04334,0.00147,8.1781,0.03410,0.9763,0.0000,0.0021,0.4705,3.7255,113.22,43,1,7,0.8431,0.8843,0.5734,5,0,0
130,6499740,3.4396,1036.6,49,-0.02879,0.00688,8.2172,0.03582,0.9692,0.0000,0.1123,-0.0401,3.3673,114.21,42,1,6,0.8571,0.8875,0.5888,5,0,1
